291133:12:Rime started with address 12.0
307954:2:Rime started with address 2.0
328788:33:Rime started with address 33.0
335358:6:Rime started with address 6.0
347895:38:Rime started with address 38.0
376720:8:Rime started with address 8.0
447157:4:Rime started with address 4.0
454218:7:Rime started with address 7.0
458665:28:Rime started with address 28.0
552972:3:Rime started with address 3.0
581543:20:Rime started with address 20.0
581868:36:Rime started with address 36.0
600547:18:Rime started with address 18.0
604973:13:Rime started with address 13.0
606837:22:Rime started with address 22.0
620461:29:Rime started with address 29.0
652419:23:Rime started with address 23.0
674873:30:Rime started with address 30.0
682604:40:Rime started with address 40.0
700971:25:Rime started with address 25.0
752727:24:Rime started with address 24.0
779799:10:Rime started with address 10.0
796646:11:Rime started with address 11.0
835593:15:Rime started with address 15.0
843438:16:Rime started with address 16.0
871850:26:Rime started with address 26.0
891065:35:Rime started with address 35.0
934533:19:Rime started with address 19.0
972137:37:Rime started with address 37.0
995329:34:Rime started with address 34.0
995744:21:Rime started with address 21.0
1026799:31:Rime started with address 31.0
1105526:14:Rime started with address 14.0
1154905:1:Rime started with address 1.0
1174491:17:Rime started with address 17.0
1216590:5:Rime started with address 5.0
1218061:27:Rime started with address 27.0
1225781:9:Rime started with address 9.0
1230268:32:Rime started with address 32.0
1269781:39:Rime started with address 39.0
32962083:6:{rd 8 res} diss: 00000003, fin: 36/53, node id: 6, n: 40
32962466:38:{rd 8 res} diss: 00000003, fin: 36/53, node id: 38, n: 40
32962477:39:{rd 8 res} diss: 00000003, fin: 36/53, node id: 39, n: 40
32966145:23:{rd 8 res} diss: 00000003, fin: 37/54, node id: 23, n: 40
32966191:9:{rd 8 res} diss: 00000003, fin: 37/54, node id: 9, n: 40
32966249:40:{rd 8 res} diss: 00000003, fin: 37/54, node id: 40, n: 40
32966253:21:{rd 8 res} diss: 00000003, fin: 37/54, node id: 21, n: 40
32966255:1:{rd 8 res} diss: 00000003, fin: 37/54, node id: 1, n: 40
32966269:26:{rd 8 res} diss: 00000003, fin: 37/54, node id: 26, n: 40
32966288:16:{rd 8 res} diss: 00000003, fin: 37/54, node id: 16, n: 40
32966296:32:{rd 8 res} diss: 00000003, fin: 37/54, node id: 32, n: 40
32966348:13:{rd 8 res} diss: 00000003, fin: 37/54, node id: 13, n: 40
32966358:10:{rd 8 res} diss: 00000003, fin: 37/54, node id: 10, n: 40
32966397:19:{rd 8 res} diss: 00000003, fin: 37/54, node id: 19, n: 40
32966569:3:{rd 8 res} diss: 00000003, fin: 37/54, node id: 3, n: 40
32969944:7:{rd 8 res} diss: 00000003, fin: 37/55, node id: 7, n: 40
32970050:18:{rd 8 res} diss: 00000003, fin: 38/55, node id: 18, n: 40
32970116:2:{rd 8 res} diss: 00000003, fin: 38/55, node id: 2, n: 40
32970122:4:{rd 8 res} diss: 00000003, fin: 38/55, node id: 4, n: 40
32970148:20:{rd 8 res} diss: 00000003, fin: 38/55, node id: 20, n: 40
32970149:12:{rd 8 res} diss: 00000003, fin: 38/55, node id: 12, n: 40
32970194:33:{rd 8 res} diss: 00000003, fin: 38/55, node id: 33, n: 40
32970232:27:{rd 8 res} diss: 00000003, fin: 38/55, node id: 27, n: 40
32973990:8:{rd 8 res} diss: 00000003, fin: 39/56, node id: 8, n: 40
32973991:24:{rd 8 res} diss: 00000003, fin: 39/56, node id: 24, n: 40
32974015:17:{rd 8 res} diss: 00000003, fin: 39/56, node id: 17, n: 40
32974051:14:{rd 8 res} diss: 00000003, fin: 39/56, node id: 14, n: 40
32974059:5:{rd 8 res} diss: 00000003, fin: 39/56, node id: 5, n: 40
32974150:34:{rd 8 res} diss: 00000003, fin: 39/56, node id: 34, n: 40
32974204:28:{rd 8 res} diss: 00000003, fin: 39/56, node id: 28, n: 40
32974205:25:{rd 8 res} diss: 00000003, fin: 39/56, node id: 25, n: 40
32974228:22:{rd 8 res} diss: 00000003, fin: 39/56, node id: 22, n: 40
32974258:35:{rd 8 res} diss: 00000003, fin: 39/56, node id: 35, n: 40
32977911:11:{rd 8 res} diss: 00000003, fin: 40/57, node id: 11, n: 40
32978000:29:{rd 8 res} diss: 00000003, fin: 40/57, node id: 29, n: 40
32978018:31:{rd 8 res} diss: 00000003, fin: 40/57, node id: 31, n: 40
32978030:30:{rd 8 res} diss: 00000003, fin: 40/57, node id: 30, n: 40
32978039:15:{rd 8 res} diss: 00000003, fin: 40/57, node id: 15, n: 40
32978058:37:{rd 8 res} diss: 00000003, fin: 40/57, node id: 37, n: 40
32978108:36:{rd 8 res} diss: 00000003, fin: 40/57, node id: 36, n: 40
36917851:30:{rd 9 res} diss: 00000003, fin: 25/42, node id: 30, n: 40
36918005:29:{rd 9 res} diss: 00000003, fin: 25/42, node id: 29, n: 40
36918371:22:{rd 9 res} diss: 00000003, fin: 25/42, node id: 22, n: 40
36918471:15:{rd 9 res} diss: 00000003, fin: 25/42, node id: 15, n: 40
36921773:8:{rd 9 res} diss: 00000003, fin: 26/43, node id: 8, n: 40
36921898:35:{rd 9 res} diss: 00000003, fin: 26/43, node id: 35, n: 40
36922009:31:{rd 9 res} diss: 00000003, fin: 26/43, node id: 31, n: 40
36922402:36:{rd 9 res} diss: 00000003, fin: 26/43, node id: 36, n: 40
36925932:11:{rd 9 res} diss: 00000003, fin: 27/44, node id: 11, n: 40
36925986:5:{rd 9 res} diss: 00000003, fin: 27/44, node id: 5, n: 40
36926104:34:{rd 9 res} diss: 00000003, fin: 27/44, node id: 34, n: 40
36926120:17:{rd 9 res} diss: 00000003, fin: 27/44, node id: 17, n: 40
36929856:24:{rd 9 res} diss: 00000003, fin: 28/45, node id: 24, n: 40
36930004:25:{rd 9 res} diss: 00000003, fin: 28/45, node id: 25, n: 40
36930066:12:{rd 9 res} diss: 00000003, fin: 28/45, node id: 12, n: 40
36930157:37:{rd 9 res} diss: 00000003, fin: 28/45, node id: 37, n: 40
36930246:14:{rd 9 res} diss: 00000003, fin: 28/45, node id: 14, n: 40
36933691:19:{rd 9 res} diss: 00000003, fin: 29/46, node id: 19, n: 40
36933833:2:{rd 9 res} diss: 00000003, fin: 29/46, node id: 2, n: 40
36934018:18:{rd 9 res} diss: 00000003, fin: 29/46, node id: 18, n: 40
36934085:28:{rd 9 res} diss: 00000003, fin: 29/46, node id: 28, n: 40
36937413:7:{rd 9 res} diss: 00000003, fin: 30/47, node id: 7, n: 40
36937634:6:{rd 9 res} diss: 00000003, fin: 30/47, node id: 6, n: 40
36937684:3:{rd 9 res} diss: 00000003, fin: 30/47, node id: 3, n: 40
36937723:9:{rd 9 res} diss: 00000003, fin: 30/47, node id: 9, n: 40
36937801:4:{rd 9 res} diss: 00000003, fin: 30/47, node id: 4, n: 40
36937812:1:{rd 9 res} diss: 00000003, fin: 30/47, node id: 1, n: 40
36937848:26:{rd 9 res} diss: 00000003, fin: 30/47, node id: 26, n: 40
36937867:16:{rd 9 res} diss: 00000003, fin: 30/47, node id: 16, n: 40
36937892:27:{rd 9 res} diss: 00000003, fin: 30/47, node id: 27, n: 40
36937942:10:{rd 9 res} diss: 00000003, fin: 30/47, node id: 10, n: 40
36937952:38:{rd 9 res} diss: 00000003, fin: 30/47, node id: 38, n: 40
36937952:39:{rd 9 res} diss: 00000003, fin: 30/47, node id: 39, n: 40
36937961:40:{rd 9 res} diss: 00000003, fin: 30/47, node id: 40, n: 40
36937961:20:{rd 9 res} diss: 00000003, fin: 30/47, node id: 20, n: 40
36937982:23:{rd 9 res} diss: 00000003, fin: 30/47, node id: 23, n: 40
36937996:21:{rd 9 res} diss: 00000003, fin: 30/47, node id: 21, n: 40
36938011:13:{rd 9 res} diss: 00000003, fin: 30/47, node id: 13, n: 40
36938057:32:{rd 9 res} diss: 00000003, fin: 30/47, node id: 32, n: 40
36941833:33:{rd 9 res} diss: 00000003, fin: 31/48, node id: 33, n: 40
40949169:18:{rd 10 res} diss: 00000003, fin: 33/50, node id: 18, n: 40
40953137:5:{rd 10 res} diss: 00000003, fin: 34/51, node id: 5, n: 40
40953220:1:{rd 10 res} diss: 00000003, fin: 34/51, node id: 1, n: 40
40953279:4:{rd 10 res} diss: 00000003, fin: 34/51, node id: 4, n: 40
40953302:12:{rd 10 res} diss: 00000003, fin: 34/51, node id: 12, n: 40
40953324:2:{rd 10 res} diss: 00000003, fin: 34/51, node id: 2, n: 40
40953335:39:{rd 10 res} diss: 00000003, fin: 34/51, node id: 39, n: 40
40953337:38:{rd 10 res} diss: 00000003, fin: 34/51, node id: 38, n: 40
