36692164:2:{rd 9 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 24
36695786:12:{rd 9 res} read: 3, ts: 1, fin: 9/33, writer id: 1, n: 24
36695896:5:{rd 9 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
36695966:11:{rd 9 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
36695973:13:{rd 9 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
36696036:10:{rd 9 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
36696085:14:{rd 9 res} read: 3, ts: 1, fin: 11/33, writer id: 1, n: 24
36699063:24:{rd 9 res} written: 3, ts: 1, fin: 13/34, n: 24
36699900:23:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36699914:22:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36699935:8:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36699941:4:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36699949:19:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36699964:7:{rd 9 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
36703744:16:{rd 9 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
36703859:9:{rd 9 res} read: 3, ts: 1, fin: 10/35, writer id: 1, n: 24
36742684:6:{rd 9 res} read: 3, ts: 1, fin: 9/45, writer id: 1, n: 24
36743297:20:{rd 9 res} read: 3, ts: 1, fin: 14/45, writer id: 1, n: 24
36747355:18:{rd 9 res} read: 3, ts: 1, fin: 14/46, writer id: 1, n: 24
36751176:15:{rd 9 res} read: 3, ts: 1, fin: 14/47, writer id: 1, n: 24
36755122:3:{rd 9 res} read: 3, ts: 1, fin: 13/48, writer id: 1, n: 24
36755132:21:{rd 9 res} read: 3, ts: 1, fin: 13/48, writer id: 1, n: 24
36906610:1:{rd 9 res} written: 3, ts: 1, fin: 14/87, n: 24
37056361:17:{rd 9 res} read: 3, ts: 1, fin: 13/125, writer id: 1, n: 24
40691903:13:{rd 10 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 24
40695705:12:{rd 10 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
40695784:22:{rd 10 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
40695817:3:{rd 10 res} read: 3, ts: 1, fin: 10/33, writer id: 1, n: 24
40699722:15:{rd 10 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
40699741:7:{rd 10 res} read: 3, ts: 1, fin: 9/34, writer id: 1, n: 24
40699767:21:{rd 10 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
40699876:2:{rd 10 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
40703644:10:{rd 10 res} read: 3, ts: 1, fin: 12/35, writer id: 1, n: 24
40703673:18:{rd 10 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
40707702:5:{rd 10 res} read: 3, ts: 1, fin: 15/36, writer id: 1, n: 24
40711601:24:{rd 10 res} read: 3, ts: 1, fin: 15/37, writer id: 1, n: 24
40715348:8:{rd 10 res} read: 3, ts: 1, fin: 13/38, writer id: 1, n: 24
40715442:4:{rd 10 res} read: 3, ts: 1, fin: 13/38, writer id: 1, n: 24
40719136:16:{rd 10 res} read: 3, ts: 1, fin: 12/39, writer id: 1, n: 24
40719242:19:{rd 10 res} read: 3, ts: 1, fin: 11/39, writer id: 1, n: 24
40723194:17:{rd 10 res} read: 3, ts: 1, fin: 11/40, writer id: 1, n: 24
40774418:20:{rd 10 res} read: 3, ts: 1, fin: 14/53, writer id: 1, n: 24
40790115:9:{rd 10 res} read: 3, ts: 1, fin: 10/57, writer id: 1, n: 24
40817193:23:{rd 10 res} read: 3, ts: 1, fin: 11/64, writer id: 1, n: 24
40821512:11:{rd 10 res} read: 3, ts: 1, fin: 11/65, writer id: 1, n: 24
40824890:6:{rd 10 res} read: 3, ts: 1, fin: 9/66, writer id: 1, n: 24
40852507:1:{rd 10 res} read: 3, ts: 1, fin: 15/73, writer id: 1, n: 24
41020929:14:{rd 10 res} read: 3, ts: 1, fin: 13/116, writer id: 1, n: 24
44685837:1:{rd 11 res} written: 4, ts: 2, fin: 10/31, n: 24
44690179:24:{rd 11 res} written: 4, ts: 2, fin: 11/32, n: 24
44690858:5:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44690947:20:{rd 11 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
44694814:18:{rd 11 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
44702558:21:{rd 11 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
44702642:22:{rd 11 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
44702647:12:{rd 11 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
44702794:15:{rd 11 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
44706525:3:{rd 11 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
44706576:13:{rd 11 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
44730329:2:{rd 11 res} read: 4, ts: 2, fin: 13/42, writer id: 1, n: 24
44734414:14:{rd 11 res} read: 4, ts: 2, fin: 12/43, writer id: 1, n: 24
44738224:4:{rd 11 res} read: 4, ts: 2, fin: 13/44, writer id: 1, n: 24
44742100:8:{rd 11 res} read: 4, ts: 2, fin: 12/45, writer id: 1, n: 24
44761765:16:{rd 11 res} read: 4, ts: 2, fin: 11/50, writer id: 1, n: 24
44765762:17:{rd 11 res} read: 4, ts: 2, fin: 12/51, writer id: 1, n: 24
44769459:11:{rd 11 res} read: 4, ts: 2, fin: 13/52, writer id: 1, n: 24
44769462:23:{rd 11 res} read: 4, ts: 2, fin: 13/52, writer id: 1, n: 24
44769558:19:{rd 11 res} read: 4, ts: 2, fin: 13/52, writer id: 1, n: 24
44878940:10:{rd 11 res} read: 4, ts: 2, fin: 13/80, writer id: 1, n: 24
44988863:6:{rd 11 res} read: 4, ts: 2, fin: 11/108, writer id: 1, n: 24
45019846:9:{rd 11 res} read: 4, ts: 2, fin: 8/116, writer id: 1, n: 24
45059257:7:{rd 11 res} read: 4, ts: 2, fin: 15/126, writer id: 1, n: 24
48682061:20:{rd 12 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 24
48685623:21:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685745:1:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685929:8:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685956:24:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48685970:18:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48686013:12:{rd 12 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
48689878:5:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689881:14:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689926:22:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689948:16:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48689963:4:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48690004:15:{rd 12 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
48693854:13:{rd 12 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
48693912:7:{rd 12 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
48693952:2:{rd 12 res} read: 4, ts: 2, fin: 11/33, writer id: 1, n: 24
48701719:23:{rd 12 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
48705671:11:{rd 12 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
48709460:17:{rd 12 res} read: 4, ts: 2, fin: 12/37, writer id: 1, n: 24
48709518:19:{rd 12 res} read: 4, ts: 2, fin: 12/37, writer id: 1, n: 24
48807762:6:{rd 12 res} read: 4, ts: 2, fin: 13/62, writer id: 1, n: 24
49038523:3:{rd 12 res} read: 4, ts: 2, fin: 12/121, writer id: 1, n: 24
49046274:9:{rd 12 res} read: 4, ts: 2, fin: 14/123, writer id: 1, n: 24
49046280:10:{rd 12 res} read: 4, ts: 2, fin: 11/123, writer id: 1, n: 24
52692885:14:{rd 13 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
52692933:2:{rd 13 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
52696775:4:{rd 13 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
52696855:8:{rd 13 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
52700747:5:{rd 13 res} read: 5, ts: 3, fin: 12/35, writer id: 1, n: 24
52700753:16:{rd 13 res} read: 5, ts: 3, fin: 13/35, writer id: 1, n: 24
52704675:10:{rd 13 res} read: 5, ts: 3, fin: 11/36, writer id: 1, n: 24
52712358:13:{rd 13 res} read: 5, ts: 3, fin: 17/38, writer id: 1, n: 24
52712405:3:{rd 13 res} read: 5, ts: 3, fin: 17/38, writer id: 1, n: 24
52716285:7:{rd 13 res} read: 5, ts: 3, fin: 18/39, writer id: 1, n: 24
52716362:12:{rd 13 res} read: 5, ts: 3, fin: 18/39, writer id: 1, n: 24
