282207:8:Rime started with address 8.0
299277:23:Rime started with address 23.0
333349:7:Rime started with address 7.0
366651:21:Rime started with address 21.0
377983:24:Rime started with address 24.0
386125:11:Rime started with address 11.0
535057:13:Rime started with address 13.0
570442:1:Rime started with address 1.0
624013:18:Rime started with address 18.0
635941:3:Rime started with address 3.0
636936:10:Rime started with address 10.0
683565:9:Rime started with address 9.0
689534:19:Rime started with address 19.0
765156:2:Rime started with address 2.0
810970:5:Rime started with address 5.0
897642:20:Rime started with address 20.0
912060:12:Rime started with address 12.0
917071:22:Rime started with address 22.0
954455:17:Rime started with address 17.0
991288:6:Rime started with address 6.0
1065400:16:Rime started with address 16.0
1105578:4:Rime started with address 4.0
1204626:15:Rime started with address 15.0
1264375:14:Rime started with address 14.0
32900959:21:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
32900987:15:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
32900991:23:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 24
32904890:2:{rd 8 res} read: 3, ts: 1, fin: 9/34, writer id: 1, n: 24
32904901:16:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32904909:22:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32904937:11:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32904938:3:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32904959:18:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32905056:19:{rd 8 res} read: 3, ts: 1, fin: 13/34, writer id: 1, n: 24
32908753:8:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32908771:13:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32908809:4:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32908849:12:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32908871:7:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32908917:14:{rd 8 res} read: 3, ts: 1, fin: 14/35, writer id: 1, n: 24
32916763:5:{rd 8 res} read: 3, ts: 1, fin: 14/37, writer id: 1, n: 24
32920562:24:{rd 8 res} read: 3, ts: 1, fin: 14/38, writer id: 1, n: 24
32924489:1:{rd 8 res} read: 3, ts: 1, fin: 14/39, writer id: 1, n: 24
32924498:10:{rd 8 res} read: 3, ts: 1, fin: 9/39, writer id: 1, n: 24
33061740:20:{rd 8 res} read: 3, ts: 1, fin: 13/74, writer id: 1, n: 24
33183470:9:{rd 8 res} read: 3, ts: 1, fin: 13/105, writer id: 1, n: 24
33187128:6:{rd 8 res} read: 3, ts: 1, fin: 9/106, writer id: 1, n: 24
33187375:17:{rd 8 res} read: 3, ts: 1, fin: 13/106, writer id: 1, n: 24
36888328:18:{rd 9 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 24
36892209:15:{rd 9 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
36892268:19:{rd 9 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
36896083:23:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
36896137:3:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
36896143:11:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
36896170:20:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
36896207:21:{rd 9 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
36899144:1:{rd 9 res} written: 4, ts: 2, fin: 12/33, n: 24
36899265:24:{rd 9 res} written: 4, ts: 2, fin: 12/33, n: 24
36899984:17:{rd 9 res} read: 4, ts: 2, fin: 10/33, writer id: 1, n: 24
36900095:7:{rd 9 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
36903979:16:{rd 9 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
36904004:5:{rd 9 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
36907821:14:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36907915:4:{rd 9 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
36911801:2:{rd 9 res} read: 4, ts: 2, fin: 14/36, writer id: 1, n: 24
36911926:8:{rd 9 res} read: 4, ts: 2, fin: 13/36, writer id: 1, n: 24
36927403:22:{rd 9 res} read: 4, ts: 2, fin: 12/40, writer id: 1, n: 24
36931367:13:{rd 9 res} read: 4, ts: 2, fin: 12/41, writer id: 1, n: 24
36931830:12:{rd 9 res} read: 4, ts: 2, fin: 10/41, writer id: 1, n: 24
36978310:6:{rd 9 res} read: 4, ts: 2, fin: 9/53, writer id: 1, n: 24
37248604:10:{rd 9 res} read: 4, ts: 2, fin: 14/122, writer id: 1, n: 24
37264423:9:{rd 9 res} read: 4, ts: 2, fin: 10/126, writer id: 1, n: 24
40887851:13:{rd 10 res} read: 4, ts: 2, fin: 9/30, writer id: 1, n: 24
40892014:12:{rd 10 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
40892060:22:{rd 10 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
40892159:7:{rd 10 res} read: 4, ts: 2, fin: 10/31, writer id: 1, n: 24
40895879:15:{rd 10 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
40895892:3:{rd 10 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
40895989:21:{rd 10 res} read: 4, ts: 2, fin: 11/32, writer id: 1, n: 24
40899757:18:{rd 10 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
40899765:8:{rd 10 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
40899783:14:{rd 10 res} read: 4, ts: 2, fin: 12/33, writer id: 1, n: 24
40903614:4:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40903677:1:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40903679:16:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40903812:2:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40903854:20:{rd 10 res} read: 4, ts: 2, fin: 13/34, writer id: 1, n: 24
40907615:17:{rd 10 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
40907625:5:{rd 10 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
40907703:10:{rd 10 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
40907749:24:{rd 10 res} read: 4, ts: 2, fin: 14/35, writer id: 1, n: 24
40911508:19:{rd 10 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
40911598:23:{rd 10 res} read: 4, ts: 2, fin: 15/36, writer id: 1, n: 24
40915554:11:{rd 10 res} read: 4, ts: 2, fin: 16/37, writer id: 1, n: 24
40982289:6:{rd 10 res} read: 4, ts: 2, fin: 7/54, writer id: 1, n: 24
41017163:9:{rd 10 res} read: 4, ts: 2, fin: 8/63, writer id: 1, n: 24
44894972:15:{rd 11 res} read: 5, ts: 3, fin: 11/32, writer id: 1, n: 24
44895008:20:{rd 11 res} read: 5, ts: 3, fin: 11/32, writer id: 1, n: 24
44895029:8:{rd 11 res} read: 5, ts: 3, fin: 11/32, writer id: 1, n: 24
44897999:1:{rd 11 res} written: 5, ts: 3, fin: 12/33, n: 24
44898172:24:{rd 11 res} written: 5, ts: 3, fin: 12/33, n: 24
44898827:14:{rd 11 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
44898844:18:{rd 11 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
44898849:21:{rd 11 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
44898920:16:{rd 11 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
44902652:11:{rd 11 res} read: 5, ts: 3, fin: 11/34, writer id: 1, n: 24
44902703:9:{rd 11 res} read: 5, ts: 3, fin: 11/34, writer id: 1, n: 24
44902742:4:{rd 11 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
44902825:17:{rd 11 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
44902853:5:{rd 11 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
44906532:2:{rd 11 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
44906628:7:{rd 11 res} read: 5, ts: 3, fin: 12/35, writer id: 1, n: 24
44906694:23:{rd 11 res} read: 5, ts: 3, fin: 11/35, writer id: 1, n: 24
44906731:19:{rd 11 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
44918361:13:{rd 11 res} read: 5, ts: 3, fin: 13/38, writer id: 1, n: 24
44926240:12:{rd 11 res} read: 5, ts: 3, fin: 13/40, writer id: 1, n: 24
45028400:22:{rd 11 res} read: 5, ts: 3, fin: 13/66, writer id: 1, n: 24
45063317:3:{rd 11 res} read: 5, ts: 3, fin: 12/75, writer id: 1, n: 24
45090746:6:{rd 11 res} read: 5, ts: 3, fin: 12/82, writer id: 1, n: 24
45216031:10:{rd 11 res} read: 5, ts: 3, fin: 14/114, writer id: 1, n: 24
48885915:12:{rd 12 res} read: 5, ts: 3, fin: 9/30, writer id: 1, n: 24
48890064:13:{rd 12 res} read: 5, ts: 3, fin: 10/31, writer id: 1, n: 24
48890111:22:{rd 12 res} read: 5, ts: 3, fin: 10/31, writer id: 1, n: 24
48897843:10:{rd 12 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
48897881:5:{rd 12 res} read: 5, ts: 3, fin: 12/33, writer id: 1, n: 24
48901867:24:{rd 12 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
48901885:4:{rd 12 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
48901890:7:{rd 12 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
48901939:2:{rd 12 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 24
48905660:14:{rd 12 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
48905708:8:{rd 12 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
48905808:3:{rd 12 res} read: 5, ts: 3, fin: 14/35, writer id: 1, n: 24
48909665:21:{rd 12 res} read: 5, ts: 3, fin: 15/36, writer id: 1, n: 24
48913577:11:{rd 12 res} read: 5, ts: 3, fin: 12/37, writer id: 1, n: 24
48913602:19:{rd 12 res} read: 5, ts: 3, fin: 12/37, writer id: 1, n: 24
48913610:15:{rd 12 res} read: 5, ts: 3, fin: 16/37, writer id: 1, n: 24
48913653:23:{rd 12 res} read: 5, ts: 3, fin: 12/37, writer id: 1, n: 24
48925399:20:{rd 12 res} read: 5, ts: 3, fin: 14/40, writer id: 1, n: 24
48929550:1:{rd 12 res} read: 5, ts: 3, fin: 14/41, writer id: 1, n: 24
48984370:17:{rd 12 res} read: 5, ts: 3, fin: 11/55, writer id: 1, n: 24
49035032:16:{rd 12 res} read: 5, ts: 3, fin: 13/68, writer id: 1, n: 24
49082256:6:{rd 12 res} read: 5, ts: 3, fin: 10/80, writer id: 1, n: 24
49195646:9:{rd 12 res} read: 5, ts: 3, fin: 11/109, writer id: 1, n: 24
49254320:18:{rd 12 res} read: 5, ts: 3, fin: 16/124, writer id: 1, n: 24
52893008:6:{rd 13 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 24
52893074:16:{rd 13 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 24
52896888:8:{rd 13 res} read: 6, ts: 4, fin: 12/33, writer id: 1, n: 24
52900794:2:{rd 13 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
52900888:14:{rd 13 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
52900902:4:{rd 13 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
52903874:24:{rd 13 res} written: 6, ts: 4, fin: 14/35, n: 24
52904617:10:{rd 13 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
52904665:12:{rd 13 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
52904672:22:{rd 13 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
52904727:5:{rd 13 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
52907862:1:{rd 13 res} written: 6, ts: 4, fin: 11/36, n: 24
52908544:15:{rd 13 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
52908647:3:{rd 13 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
52908682:13:{rd 13 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
52912524:7:{rd 13 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
52912644:18:{rd 13 res} read: 6, ts: 4, fin: 12/37, writer id: 1, n: 24
52912714:20:{rd 13 res} read: 6, ts: 4, fin: 12/37, writer id: 1, n: 24
52932155:19:{rd 13 res} read: 6, ts: 4, fin: 11/42, writer id: 1, n: 24
52936381:17:{rd 13 res} read: 6, ts: 4, fin: 10/43, writer id: 1, n: 24
52955969:23:{rd 13 res} read: 6, ts: 4, fin: 11/48, writer id: 1, n: 24
52956067:11:{rd 13 res} read: 6, ts: 4, fin: 11/48, writer id: 1, n: 24
53037890:9:{rd 13 res} read: 6, ts: 4, fin: 12/69, writer id: 1, n: 24
53233880:21:{rd 13 res} read: 6, ts: 4, fin: 15/119, writer id: 1, n: 24
56895892:10:{rd 14 res} read: 6, ts: 4, fin: 10/33, writer id: 1, n: 24
56899632:2:{rd 14 res} read: 6, ts: 4, fin: 9/34, writer id: 1, n: 24
56899782:8:{rd 14 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
56899830:5:{rd 14 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
56899937:24:{rd 14 res} read: 6, ts: 4, fin: 13/34, writer id: 1, n: 24
56903695:1:{rd 14 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
56903706:6:{rd 14 res} read: 6, ts: 4, fin: 14/35, writer id: 1, n: 24
56907599:4:{rd 14 res} read: 6, ts: 4, fin: 11/36, writer id: 1, n: 24
56907645:9:{rd 14 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
56907669:12:{rd 14 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
56907724:11:{rd 14 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
56907732:22:{rd 14 res} read: 6, ts: 4, fin: 15/36, writer id: 1, n: 24
56911529:3:{rd 14 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
56911529:19:{rd 14 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
56911535:13:{rd 14 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
56911552:17:{rd 14 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
56911585:21:{rd 14 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
56911594:23:{rd 14 res} read: 6, ts: 4, fin: 16/37, writer id: 1, n: 24
56915430:18:{rd 14 res} read: 6, ts: 4, fin: 17/38, writer id: 1, n: 24
56915565:15:{rd 14 res} read: 6, ts: 4, fin: 17/38, writer id: 1, n: 24
56915579:16:{rd 14 res} read: 6, ts: 4, fin: 13/38, writer id: 1, n: 24
