21716905:6:{rd 7 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
21717067:1:{rd 7 res} diss: 00000003, fin: 5/22, node id: 1, n: 6
21721025:2:{rd 7 res} diss: 00000003, fin: 6/23, node id: 2, n: 6
21721033:4:{rd 7 res} diss: 00000003, fin: 6/23, node id: 4, n: 6
21724865:5:{rd 7 res} diss: 00000003, fin: 7/24, node id: 5, n: 6
21728699:3:{rd 7 res} diss: 00000003, fin: 7/25, node id: 3, n: 6
24632018:1:{rd 8 res} diss: 00000003, fin: 5/26, node id: 1, n: 6
24644565:6:{rd 8 res} diss: 00000003, fin: 12/29, node id: 6, n: 6
24644571:4:{rd 8 res} diss: 00000003, fin: 12/29, node id: 4, n: 6
24648456:2:{rd 8 res} diss: 00000003, fin: 13/30, node id: 2, n: 6
24648537:5:{rd 8 res} diss: 00000003, fin: 13/30, node id: 5, n: 6
24652246:3:{rd 8 res} diss: 00000003, fin: 13/31, node id: 3, n: 6
27527393:6:{rd 9 res} diss: 00000003, fin: 8/25, node id: 6, n: 6
27531301:2:{rd 9 res} diss: 00000003, fin: 9/26, node id: 2, n: 6
27531354:1:{rd 9 res} diss: 00000003, fin: 8/26, node id: 1, n: 6
27535178:4:{rd 9 res} diss: 00000003, fin: 9/27, node id: 4, n: 6
27535397:5:{rd 9 res} diss: 00000003, fin: 10/27, node id: 5, n: 6
27539308:3:{rd 9 res} diss: 00000003, fin: 10/28, node id: 3, n: 6
30411858:1:{rd 10 res} diss: 00000003, fin: 4/21, node id: 1, n: 6
30415752:2:{rd 10 res} diss: 00000003, fin: 5/22, node id: 2, n: 6
30415772:6:{rd 10 res} diss: 00000003, fin: 5/22, node id: 6, n: 6
30415797:3:{rd 10 res} diss: 00000003, fin: 5/22, node id: 3, n: 6
30419588:4:{rd 10 res} diss: 00000003, fin: 5/23, node id: 4, n: 6
30419616:5:{rd 10 res} diss: 00000003, fin: 6/23, node id: 5, n: 6
33350975:4:{rd 11 res} diss: 00000003, fin: 14/31, node id: 4, n: 6
33355011:6:{rd 11 res} diss: 00000003, fin: 15/32, node id: 6, n: 6
33355029:2:{rd 11 res} diss: 00000003, fin: 15/32, node id: 2, n: 6
33358923:5:{rd 11 res} diss: 00000003, fin: 16/33, node id: 5, n: 6
33359011:1:{rd 11 res} diss: 00000003, fin: 15/33, node id: 1, n: 6
33362898:3:{rd 11 res} diss: 00000003, fin: 17/34, node id: 3, n: 6
36218251:1:{rd 12 res} diss: 00000003, fin: 6/23, node id: 1, n: 6
36222078:6:{rd 12 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
36222087:2:{rd 12 res} diss: 00000003, fin: 7/24, node id: 2, n: 6
36225846:4:{rd 12 res} diss: 00000003, fin: 7/25, node id: 4, n: 6
36225924:5:{rd 12 res} diss: 00000003, fin: 8/25, node id: 5, n: 6
36229975:3:{rd 12 res} diss: 00000003, fin: 8/26, node id: 3, n: 6
39121424:6:{rd 13 res} diss: 00000003, fin: 7/24, node id: 6, n: 6
39125271:2:{rd 13 res} diss: 00000003, fin: 8/25, node id: 2, n: 6
39125458:1:{rd 13 res} diss: 00000003, fin: 8/25, node id: 1, n: 6
39129263:3:{rd 13 res} diss: 00000003, fin: 9/26, node id: 3, n: 6
39129349:4:{rd 13 res} diss: 00000003, fin: 9/26, node id: 4, n: 6
39133183:5:{rd 13 res} diss: 00000003, fin: 9/27, node id: 5, n: 6
