28954005:9:{rd 7 res} read: 3, ts: 1, fin: 4/25, writer id: 1, n: 12
28957942:6:{rd 7 res} read: 3, ts: 1, fin: 5/26, writer id: 1, n: 12
28957955:3:{rd 7 res} read: 3, ts: 1, fin: 5/26, writer id: 1, n: 12
28961047:1:{rd 7 res} written: 3, ts: 1, fin: 6/27, n: 12
28965684:4:{rd 7 res} read: 3, ts: 1, fin: 7/28, writer id: 1, n: 12
28974358:8:{rd 7 res} read: 3, ts: 1, fin: 7/30, writer id: 1, n: 12
28977088:12:{rd 7 res} written: 3, ts: 1, fin: 8/31, n: 12
28978319:7:{rd 7 res} read: 3, ts: 1, fin: 8/31, writer id: 1, n: 12
28982085:5:{rd 7 res} read: 3, ts: 1, fin: 5/32, writer id: 1, n: 12
28982145:2:{rd 7 res} read: 3, ts: 1, fin: 8/32, writer id: 1, n: 12
29060169:10:{rd 7 res} read: 3, ts: 1, fin: 5/52, writer id: 1, n: 12
29185818:11:{rd 7 res} read: 3, ts: 1, fin: 5/84, writer id: 1, n: 12
32981173:5:{rd 8 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 12
32981259:3:{rd 8 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 12
32981299:11:{rd 8 res} read: 3, ts: 1, fin: 11/32, writer id: 1, n: 12
32985155:6:{rd 8 res} read: 3, ts: 1, fin: 12/33, writer id: 1, n: 12
32992896:7:{rd 8 res} read: 3, ts: 1, fin: 8/35, writer id: 1, n: 12
33044230:10:{rd 8 res} read: 3, ts: 1, fin: 7/48, writer id: 1, n: 12
33048081:1:{rd 8 res} read: 3, ts: 1, fin: 10/49, writer id: 1, n: 12
33051944:4:{rd 8 res} read: 3, ts: 1, fin: 9/50, writer id: 1, n: 12
33055891:12:{rd 8 res} read: 3, ts: 1, fin: 8/51, writer id: 1, n: 12
33059787:2:{rd 8 res} read: 3, ts: 1, fin: 7/52, writer id: 1, n: 12
33165172:8:{rd 8 res} read: 3, ts: 1, fin: 7/79, writer id: 1, n: 12
33310161:9:{rd 8 res} read: 3, ts: 1, fin: 7/116, writer id: 1, n: 12
36964557:6:{rd 9 res} read: 26, ts: 2, fin: 7/28, writer id: 12, n: 12
36968774:9:{rd 9 res} read: 26, ts: 2, fin: 8/29, writer id: 12, n: 12
36980511:4:{rd 9 res} read: 26, ts: 2, fin: 11/32, writer id: 12, n: 12
36983583:12:{rd 9 res} written: 26, ts: 2, fin: 12/33, n: 12
36984370:11:{rd 9 res} read: 26, ts: 2, fin: 8/33, writer id: 12, n: 12
36984554:8:{rd 9 res} read: 26, ts: 2, fin: 12/33, writer id: 12, n: 12
36988217:5:{rd 9 res} read: 26, ts: 2, fin: 9/34, writer id: 12, n: 12
36988267:7:{rd 9 res} read: 26, ts: 2, fin: 13/34, writer id: 12, n: 12
36988381:2:{rd 9 res} read: 26, ts: 2, fin: 13/34, writer id: 12, n: 12
36992248:3:{rd 9 res} read: 26, ts: 2, fin: 8/35, writer id: 12, n: 12
36992404:10:{rd 9 res} read: 26, ts: 2, fin: 10/35, writer id: 12, n: 12
37296866:1:{rd 9 res} written: 26, ts: 2, fin: 11/113, n: 12
40968085:11:{rd 10 res} read: 26, ts: 2, fin: 8/29, writer id: 12, n: 12
40968308:3:{rd 10 res} read: 26, ts: 2, fin: 8/29, writer id: 12, n: 12
40972385:5:{rd 10 res} read: 26, ts: 2, fin: 9/30, writer id: 12, n: 12
40972504:4:{rd 10 res} read: 26, ts: 2, fin: 5/30, writer id: 12, n: 12
40972574:6:{rd 10 res} read: 26, ts: 2, fin: 9/30, writer id: 12, n: 12
40980300:8:{rd 10 res} read: 26, ts: 2, fin: 11/32, writer id: 12, n: 12
40980433:12:{rd 10 res} read: 26, ts: 2, fin: 11/32, writer id: 12, n: 12
40984239:7:{rd 10 res} read: 26, ts: 2, fin: 12/33, writer id: 12, n: 12
40984379:2:{rd 10 res} read: 26, ts: 2, fin: 12/33, writer id: 12, n: 12
41172243:10:{rd 10 res} read: 26, ts: 2, fin: 9/81, writer id: 12, n: 12
41219109:1:{rd 10 res} read: 26, ts: 2, fin: 7/93, writer id: 12, n: 12
41348510:9:{rd 10 res} read: 26, ts: 2, fin: 8/126, writer id: 12, n: 12
44986958:5:{rd 11 res} read: 5, ts: 3, fin: 13/34, writer id: 1, n: 12
44990862:10:{rd 11 res} read: 5, ts: 3, fin: 12/35, writer id: 1, n: 12
44994178:1:{rd 11 res} written: 27, ts: 3, fin: 11/36, n: 12
44994799:3:{rd 11 res} read: 5, ts: 3, fin: 13/36, writer id: 1, n: 12
44998858:9:{rd 11 res} read: 5, ts: 3, fin: 16/37, writer id: 1, n: 12
44998933:4:{rd 11 res} read: 27, ts: 3, fin: 10/37, writer id: 12, n: 12
45002531:6:{rd 11 res} read: 5, ts: 3, fin: 17/38, writer id: 1, n: 12
45002693:8:{rd 11 res} read: 27, ts: 3, fin: 7/38, writer id: 12, n: 12
45005867:12:{rd 11 res} written: 27, ts: 3, fin: 10/39, n: 12
45006833:7:{rd 11 res} read: 27, ts: 3, fin: 10/39, writer id: 12, n: 12
45010584:2:{rd 11 res} read: 27, ts: 3, fin: 10/40, writer id: 12, n: 12
45280795:11:{rd 11 res} read: 5, ts: 3, fin: 13/109, writer id: 1, n: 12
48974491:7:{rd 12 res} read: 27, ts: 3, fin: 10/31, writer id: 12, n: 12
48978190:2:{rd 12 res} read: 27, ts: 3, fin: 9/32, writer id: 12, n: 12
48978299:12:{rd 12 res} read: 27, ts: 3, fin: 9/32, writer id: 12, n: 12
48978361:8:{rd 12 res} read: 27, ts: 3, fin: 9/32, writer id: 12, n: 12
48982095:4:{rd 12 res} read: 27, ts: 3, fin: 8/33, writer id: 12, n: 12
48993989:5:{rd 12 res} read: 27, ts: 3, fin: 5/36, writer id: 12, n: 12
48997989:3:{rd 12 res} read: 27, ts: 3, fin: 8/37, writer id: 12, n: 12
49001652:6:{rd 12 res} read: 27, ts: 3, fin: 9/38, writer id: 12, n: 12
49001743:9:{rd 12 res} read: 27, ts: 3, fin: 9/38, writer id: 12, n: 12
49001848:11:{rd 12 res} read: 27, ts: 3, fin: 9/38, writer id: 12, n: 12
49024887:10:{rd 12 res} read: 27, ts: 3, fin: 9/44, writer id: 12, n: 12
49080720:1:{rd 12 res} read: 27, ts: 3, fin: 10/58, writer id: 12, n: 12
52952814:5:{rd 13 res} read: 6, ts: 4, fin: 5/26, writer id: 1, n: 12
52956731:11:{rd 13 res} read: 6, ts: 4, fin: 6/27, writer id: 1, n: 12
52956765:3:{rd 13 res} read: 6, ts: 4, fin: 6/27, writer id: 1, n: 12
52960758:9:{rd 13 res} read: 6, ts: 4, fin: 7/28, writer id: 1, n: 12
52960891:6:{rd 13 res} read: 6, ts: 4, fin: 7/28, writer id: 1, n: 12
52964133:1:{rd 13 res} written: 6, ts: 4, fin: 8/29, n: 12
52969283:4:{rd 13 res} read: 6, ts: 4, fin: 9/30, writer id: 1, n: 12
52972402:12:{rd 13 res} written: 6, ts: 4, fin: 10/31, n: 12
52977171:8:{rd 13 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 12
52977223:7:{rd 13 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 12
52977246:2:{rd 13 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 12
53286578:10:{rd 13 res} read: 6, ts: 4, fin: 6/111, writer id: 1, n: 12
56959614:10:{rd 14 res} read: 6, ts: 4, fin: 5/28, writer id: 1, n: 12
56963954:5:{rd 14 res} read: 6, ts: 4, fin: 8/29, writer id: 1, n: 12
56964231:3:{rd 14 res} read: 6, ts: 4, fin: 8/29, writer id: 1, n: 12
56968127:11:{rd 14 res} read: 6, ts: 4, fin: 9/30, writer id: 1, n: 12
56968265:6:{rd 14 res} read: 6, ts: 4, fin: 9/30, writer id: 1, n: 12
56976267:12:{rd 14 res} read: 6, ts: 4, fin: 11/32, writer id: 1, n: 12
56979998:7:{rd 14 res} read: 6, ts: 4, fin: 12/33, writer id: 1, n: 12
56980094:2:{rd 14 res} read: 6, ts: 4, fin: 12/33, writer id: 1, n: 12
56984064:8:{rd 14 res} read: 6, ts: 4, fin: 11/34, writer id: 1, n: 12
57078514:4:{rd 14 res} read: 6, ts: 4, fin: 10/58, writer id: 1, n: 12
57266354:1:{rd 14 res} read: 6, ts: 4, fin: 10/106, writer id: 1, n: 12
57344355:9:{rd 14 res} read: 6, ts: 4, fin: 5/126, writer id: 1, n: 12
60959112:7:{rd 15 res} read: 29, ts: 5, fin: 7/28, writer id: 12, n: 12
60962344:12:{rd 15 res} written: 29, ts: 5, fin: 8/29, n: 12
60963255:6:{rd 15 res} read: 7, ts: 5, fin: 8/29, writer id: 1, n: 12
60967110:9:{rd 15 res} read: 7, ts: 5, fin: 9/30, writer id: 1, n: 12
60967355:3:{rd 15 res} read: 7, ts: 5, fin: 9/30, writer id: 1, n: 12
60967366:11:{rd 15 res} read: 7, ts: 5, fin: 9/30, writer id: 1, n: 12
60967625:2:{rd 15 res} read: 29, ts: 5, fin: 9/30, writer id: 12, n: 12
61021712:1:{rd 15 res} written: 29, ts: 5, fin: 9/44, n: 12
61026729:4:{rd 15 res} read: 29, ts: 5, fin: 8/45, writer id: 12, n: 12
61030285:5:{rd 15 res} read: 7, ts: 5, fin: 7/46, writer id: 1, n: 12
61030459:8:{rd 15 res} read: 29, ts: 5, fin: 7/46, writer id: 12, n: 12
61323752:10:{rd 15 res} read: 7, ts: 5, fin: 10/121, writer id: 1, n: 12
64962330:11:{rd 16 res} read: 29, ts: 5, fin: 8/29, writer id: 12, n: 12
64966586:5:{rd 16 res} read: 29, ts: 5, fin: 9/30, writer id: 12, n: 12
64966665:6:{rd 16 res} read: 29, ts: 5, fin: 9/30, writer id: 12, n: 12
